29|1| 0.9999999981
28|2| 1.2599210516
28|3| 1.4422495700
30|4| 1.5874010511
31|5| 1.7099759472
31|6| 1.8171205921
32|7| 1.9129311822
2|8| 2.0000000000
31|9| 2.0800838233
33|10| 2.1544346900
33|11| 2.2239800912
33|12| 2.2894284851
34|13| 2.3513346878
31|14| 2.4101422643
32|15| 2.4662120745
32|16| 2.5198420994
34|17| 2.5712815907
33|18| 2.6207413946
34|19| 2.6684016486
33|20| 2.7144176164
34|21| 2.7589241767
34|22| 2.8020393307
35|23| 2.8438669797
35|24| 2.8844991408
35|25| 2.9240177384
34|26| 2.9624960687
33|27| 3.0000000003
35|28| 3.0365889719
35|29| 3.0723168258
35|30| 3.1072325059
35|31| 3.1413806526
34|32| 3.1748021040
36|33| 3.2075343300
33|34| 3.2396118010
36|35| 3.2710663103
34|36| 3.3019272492
35|37| 3.3322218517
36|38| 3.3619754066
36|39| 3.3912114431
35|40| 3.4199518932
35|41| 3.4482172402
36|42| 3.4760266451
35|43| 3.5033980603
35|44| 3.5303483353
37|45| 3.5568933045
33|46| 3.5830478712
34|47| 3.6088260799
35|48| 3.6342411856
35|49| 3.6593057101
36|50| 3.6840314984
37|51| 3.7084297692
37|52| 3.7325111568
35|53| 3.7562857541
33|54| 3.7797631498
37|55| 3.8029524609
37|56| 3.8258623656
37|57| 3.8485011314
37|58| 3.8708766407
36|59| 3.8929964158
36|60| 3.9148676410
37|61| 3.9364971829
36|62| 3.9578916097
37|63| 3.9790572080
4|64| 4.0000000000
36|65| 4.0207257587
38|66| 4.0412400206
34|67| 4.0615481004
35|68| 4.0816551020
37|69| 4.1015659295
36|70| 4.1212852999
36|71| 4.1408177495
37|72| 4.1601676461
38|73| 4.1793391963
37|74| 4.1983364539
37|75| 4.2171633266
37|76| 4.2358235841
35|77| 4.2543208651
38|78| 4.2726586817
37|79| 4.2908404272
35|80| 4.3088693800
38|81| 4.3267487110
38|82| 4.3444814858
37|83| 4.3620706714
33|84| 4.3795191399
38|85| 4.3968296721
35|86| 4.4140049625
38|87| 4.4310476218
36|88| 4.4479601810
33|89| 4.4647450956
38|90| 4.4814047464
38|91| 4.4979414453
38|92| 4.5143574354
37|93| 4.5306548961
39|94| 4.5468359438
39|95| 4.5629026354
35|96| 4.5788569702
33|97| 4.5947008923
37|98| 4.6104362920
38|99| 4.6260650091
38|100| 4.6415888337
